City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Dwarka,IN,75.4,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
250,Kota Belud,MY,75.2,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
254,Presidente Dutra,BR,83.79,overcast clouds,-5.29,-44.49,Pousada Planalto
255,Muisne,EC,84.2,few clouds,0.6,-80.0333,Quinta Samay
263,Quelimane,MZ,82.4,scattered clouds,-17.8786,36.8883,Hotel Flamingo
264,Alvarado,MX,82.99,scattered clouds,18.7667,-95.7667,Del Pastor
265,Hiriyur,IN,77.5,clear sky,13.9456,76.6192,Anthri hotel
266,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
269,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
270,Nabire,ID,75.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
272,Puerto Maldonado,PE,75.2,light rain,-12.6,-69.1833,Wasai Hotel
277,Emerald,AU,77.0,scattered clouds,-23.5333,148.1667,The Irish Village
288,Yulara,AU,80.6,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
303,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
308,Tubuala,PA,89.6,scattered clouds,9.5167,-79.0333,Río Nabagana
311,Mahibadhoo,MV,82.51,clear sky,3.7833,72.9667,Omadhoo Inn
320,Kaduqli,SD,84.27,few clouds,11.0167,29.7167,فندق الله جابو
328,Kismayo,SO,78.53,few clouds,-0.3582,42.5454,Agan-Hotel
329,Umm Lajj,SA,75.38,clear sky,25.0213,37.2685,Moon light Furnished Units
338,Katherine,AU,77.0,clear sky,-14.4667,132.2667,Pine Tree Motel
349,Ilhabela,BR,78.31,light rain,-23.7781,-45.3581,Ilha Flat Hotel
353,Padang,ID,75.2,moderate rain,-0.9492,100.3543,Mercure Padang
354,Faanui,PF,83.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
356,Cap Malheureux,MU,81.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
361,Coruripe,BR,82.99,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
362,Kieta,PG,78.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
367,Cabinda,AO,76.78,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
369,Black River,JM,82.4,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
378,Conakry,GN,84.2,haze,9.538,-13.6773,Riviera Royal Hotel
383,Sorong,ID,78.3,overcast clouds,-0.8833,131.25,The Waigo Hotel
388,San Carlos De Bariloche,AR,75.2,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
