City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Botro,CI,7.8525,-5.3106,93.2,38,40,6.91,scattered clouds
80,Kaitangata,NZ,-46.2817,169.8464,51.01,90,2,8.43,clear sky
81,Iacu,BR,-12.7672,-40.2117,97.09,24,0,4.47,clear sky
82,Saint George,US,37.1041,-113.5841,71.01,16,1,8.05,clear sky
83,Saint-Martin-Boulogne,FR,50.7269,1.6186,37.4,70,0,4.61,clear sky
84,Avarua,CK,-21.2078,-159.775,82.4,83,75,11.5,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,0,14.97,clear sky
86,Bubaque,GW,11.2833,-15.8333,75.4,71,0,12.64,clear sky
87,Thompson,CA,55.7435,-97.8558,30.2,55,75,9.22,broken clouds
88,Big Bend,SZ,-26.8167,31.9333,72.9,81,94,4.61,overcast clouds
89,Coihaique,CL,-45.5752,-72.0662,68.0,52,40,9.22,scattered clouds
90,Kikwit,CD,-5.041,18.8162,72.0,93,100,1.45,overcast clouds
91,Hilo,US,19.7297,-155.09,66.2,82,75,4.61,light rain
92,Alofi,NU,-19.0595,-169.9187,77.0,94,98,3.44,overcast clouds
93,Wukari,NG,7.85,9.7833,88.29,13,0,4.61,clear sky
94,Kushnarenkovo,RU,55.105,55.3508,15.8,86,90,4.47,light snow
95,Minatitlan,MX,17.9833,-94.5167,78.8,78,75,23.02,broken clouds
96,Torbay,CA,47.6666,-52.7314,35.01,64,75,29.93,broken clouds
97,Ponta Do Sol,PT,32.6667,-17.1,62.6,67,40,16.11,scattered clouds
98,Altay,CN,47.8667,88.1167,20.37,77,0,5.88,clear sky
99,Khani,GE,41.9563,42.9566,51.8,50,75,13.8,broken clouds
100,Touros,BR,-5.1989,-35.4608,86.0,58,20,14.97,few clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,75.2,49,75,3.44,broken clouds
102,Mirnyy,RU,62.5353,113.9611,7.34,95,91,2.68,overcast clouds
103,Souillac,MU,-20.5167,57.5167,80.6,78,75,4.61,broken clouds
104,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,12.66,broken clouds
105,Bentiu,SS,9.2333,29.8333,86.47,17,85,3.18,overcast clouds
106,Hobart,AU,-42.8794,147.3294,50.0,87,78,5.75,broken clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,75,40,11.5,scattered clouds
108,Mitchell,US,43.7094,-98.0298,53.6,54,1,18.41,clear sky
109,Leningradskiy,RU,69.3833,178.4167,-18.47,81,80,4.0,broken clouds
110,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,4.61,broken clouds
111,Kaili,ID,-3.4626,120.2147,66.7,91,66,2.51,broken clouds
112,Makhinjauri,GE,41.6739,41.694,51.8,66,0,10.36,clear sky
113,Chokurdakh,RU,70.6333,147.9167,-10.61,89,100,16.98,overcast clouds
114,Yei,SS,4.095,30.6779,77.81,41,100,1.95,overcast clouds
115,Dikson,RU,73.5069,80.5464,-26.61,86,98,10.22,overcast clouds
116,Provideniya,RU,64.3833,-173.3,-8.0,84,100,6.96,overcast clouds
117,Sibolga,ID,1.7427,98.7792,76.51,87,100,2.01,overcast clouds
118,Tutoia,BR,-2.7619,-42.2744,78.8,100,75,5.75,moderate rain
119,Batagay-Alyta,RU,67.8006,130.4114,-27.4,67,9,2.84,clear sky
120,Floresta,BR,-8.6011,-38.5686,98.01,23,0,9.37,clear sky
121,San Patricio,US,28.017,-97.5169,68.0,52,75,12.66,broken clouds
122,Caravelas,BR,-17.7125,-39.2481,83.53,67,100,11.32,overcast clouds
123,Manokwari,ID,-0.8667,134.0833,78.35,76,100,6.26,moderate rain
124,Kvarkeno,RU,52.0833,59.725,17.69,94,100,3.65,overcast clouds
125,Hithadhoo,MV,-0.6,73.0833,84.04,68,7,5.28,clear sky
126,Bengkulu,ID,-3.8004,102.2655,74.68,93,100,6.35,overcast clouds
127,Dunedin,NZ,-45.8742,170.5036,55.0,76,1,9.84,clear sky
128,Miles City,US,46.4083,-105.8406,50.0,37,1,14.97,clear sky
129,Montmagny,FR,48.9734,2.3469,44.01,45,0,8.05,clear sky
130,Fare,PF,-16.7,-151.0167,82.33,72,76,9.44,moderate rain
131,Rexburg,US,43.826,-111.7897,37.4,52,1,3.44,clear sky
132,Banda Aceh,ID,5.5577,95.3222,79.59,78,83,3.74,broken clouds
133,Xingcheng,CN,40.6167,120.7167,21.83,72,0,0.94,clear sky
134,Kruisfontein,ZA,-34.0033,24.7314,70.0,72,0,1.99,clear sky
135,Puerto Ayora,EC,-0.7393,-90.3518,84.2,74,40,11.5,light rain
136,Chara,RU,56.9064,118.2631,-2.06,82,100,1.86,overcast clouds
137,Merauke,ID,-8.4667,140.3333,76.87,90,10,7.36,clear sky
138,Mackenzie,CA,55.2999,-123.1698,32.0,80,90,11.5,overcast clouds
139,Calvinia,ZA,-31.4707,19.776,64.15,46,0,6.91,clear sky
140,Pangai,TO,-19.8,-174.35,80.6,89,75,2.3,broken clouds
141,Shiraz,IR,29.6036,52.5388,57.2,23,0,9.22,clear sky
142,Belmonte,BR,-15.8631,-38.8828,86.0,74,0,14.97,clear sky
143,Sechura,PE,-5.5569,-80.8222,85.98,49,0,14.27,clear sky
144,Port Blair,IN,11.6667,92.75,78.96,74,0,3.02,clear sky
145,Boende,CD,-0.2167,20.8667,70.72,95,100,3.83,overcast clouds
146,Arlit,NE,18.7369,7.3853,86.58,13,100,9.26,overcast clouds
147,New Norfolk,AU,-42.7826,147.0587,48.0,72,90,2.19,overcast clouds
148,Hermanus,ZA,-34.4187,19.2345,66.0,79,0,1.01,clear sky
149,Boa Vista,BR,2.8197,-60.6733,91.4,43,75,9.22,broken clouds
150,Klaksvik,FO,62.2266,-6.589,42.8,100,75,2.3,broken clouds
151,Olinda,BR,-8.0089,-34.8553,80.6,69,40,11.5,scattered clouds
152,Newport,GB,51.5877,-2.9984,41.0,73,17,7.52,few clouds
153,Sioux Lookout,CA,50.1001,-91.917,26.6,46,20,4.45,few clouds
154,Ararat,AM,39.8317,44.7049,42.8,49,96,3.44,overcast clouds
155,Atar,MR,20.5169,-13.0499,80.6,12,0,13.8,clear sky
156,Fortuna,US,40.5982,-124.1573,53.01,81,1,9.22,clear sky
157,Kavieng,PG,-2.5744,150.7967,80.78,78,99,6.49,light rain
158,Qaanaaq,GL,77.484,-69.3632,-15.27,70,0,5.37,clear sky
