City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Kahului,US,3/2/21 22:55,20.8947,-156.47,78.8,53,20,21.85
73,Atar,MR,3/2/21 22:56,20.5169,-13.0499,68.49,25,20,12.1
74,Beringovskiy,RU,3/2/21 22:52,63.05,179.3167,-14.13,78,0,8.75
75,Pisco,PE,3/2/21 22:54,-13.7,-76.2167,78.8,69,75,9.22
76,Port Hardy,CA,3/2/21 22:51,50.6996,-127.4199,44.6,70,90,4.61
77,Pirovskoye,RU,3/2/21 22:56,57.6267,92.2658,-20.36,87,33,5.7
78,Hithadhoo,MV,3/2/21 22:52,-0.6,73.0833,82.22,72,11,10.4
79,Vila Franca Do Campo,PT,3/2/21 22:56,37.7167,-25.4333,59,88,20,20.71
80,Fort Wellington,GY,3/2/21 22:56,6.4,-57.6,76.59,86,85,8.12
81,Nuevo Progreso,MX,3/2/21 22:56,23.1667,-97.95,73,66,57,8.01
82,Bonavista,CA,3/2/21 22:56,48.6499,-53.1147,32,93,93,6.91
83,Vestmannaeyjar,IS,3/2/21 22:56,63.4427,-20.2734,44.6,93,90,14.97
84,Port Alfred,ZA,3/2/21 22:56,-33.5906,26.891,68,93,56,3
85,Tena,EC,3/2/21 22:56,-0.9833,-77.8167,78.8,89,40,0.72
86,Matamoros,MX,3/2/21 22:56,25.5333,-103.25,69.8,23,1,7.05
87,Popondetta,PG,3/2/21 22:56,-8.7537,148.2534,85.32,69,100,0.16
88,Formosa Do Rio Preto,BR,3/2/21 22:56,-11.0483,-45.1931,71.13,92,60,1.12
89,Constitucion,CL,3/2/21 22:52,-35.3333,-72.4167,62.31,89,78,3.15
90,Boa Vista,BR,3/2/21 22:55,2.8197,-60.6733,86,48,0,4.61
91,Longyearbyen,SJ,3/2/21 22:56,78.2186,15.6401,8.6,61,0,14.97
92,Alofi,NU,3/2/21 22:56,-19.0595,-169.9187,84.2,74,75,6.91
93,Butaritari,KI,3/2/21 22:56,3.0707,172.7902,81,79,3,20.92
94,Carnarvon,AU,3/2/21 22:56,-24.8667,113.6333,71.6,100,90,11.5
95,Qaanaaq,GL,3/2/21 22:52,77.484,-69.3632,-0.2,58,91,9.71
96,Hofn,IS,3/2/21 22:51,64.2539,-15.2082,38.32,80,88,16.13
97,Batemans Bay,AU,3/2/21 22:56,-35.7167,150.1833,63,53,56,3
98,Kapit,MY,3/2/21 22:52,2.0167,112.9333,73,94,97,0.43
99,Saint-Philippe,RE,3/2/21 22:56,-21.3585,55.7679,77,69,0,4.61
100,Cabo San Lucas,MX,3/2/21 22:53,22.8909,-109.9124,75.99,49,40,9.22
101,Bayan,CN,3/2/21 22:56,46.0833,127.4,7.47,85,96,6.67
102,Victoria,HK,3/2/21 22:52,22.2855,114.1577,64.99,77,99,1.01
103,Khammam,IN,3/2/21 22:56,17.25,80.15,68.56,69,0,5.88
104,Yaremche,UA,3/2/21 22:56,48.4583,24.5519,30.99,93,0,4.7
105,Dongsheng,CN,3/2/21 22:55,39.8161,109.9776,29.3,45,0,11.59
106,Saint Cloud,US,3/2/21 22:56,45.5608,-94.1625,44.6,56,1,9.22
107,Provideniya,RU,3/2/21 22:56,64.3833,-173.3,-2.2,71,0,20.13
108,Jorhat,IN,3/2/21 22:56,26.75,94.2167,63.59,58,56,5.77
109,Luderitz,NA,3/2/21 22:52,-26.6481,15.1594,68.14,68,0,10.98
110,Ialibu,PG,3/2/21 22:56,-6.2821,143.9935,63.05,75,88,6.35
111,Kalmunai,LK,3/2/21 22:56,7.4167,81.8167,74.01,73,11,2.95
112,Ancud,CL,3/2/21 22:56,-41.8697,-73.8203,68,60,0,6.91
113,Bengkulu,ID,3/2/21 22:56,-3.8004,102.2655,74.95,88,94,5.28
114,Hobart,AU,3/2/21 22:52,-42.8794,147.3294,57.2,51,75,10.36
115,Svetlaya,RU,3/2/21 22:56,46.5389,138.3297,6.78,64,0,5.82
116,Jamestown,US,3/2/21 22:56,42.097,-79.2353,32,87,1,7.78
117,Dingle,PH,3/2/21 22:52,10.9995,122.6711,73.94,86,88,7.54
118,Cockburn Town,TC,3/2/21 22:56,21.4612,-71.1419,77,65,75,11.5
